author,authordescription,authorfavouritecount,authorfollowercount,authorfriendcount,authorid,authorimageurl,authorlang,authorlocation,authorname,authortimezone,authorurl,body,deviceinfo,docid,doclatitude,doclongitude,isretweet,referenceauthor,referenceauthorid,publisheddatetime,publisheddatetimestr,tags,listoflinks,mentionedusernames,mentionedusers,retweetcount
IamFridayPoster,"Friday Poster Friday Poster Channel Is All About #Entertainment.. We Bring all the latest Updates on #Films, #UnknownFacts, #Education, #Politics, etc.",143,276,209,7.6832911E17,http://pbs.twimg.com/profile_images/768332793931706368/5XSdpb7k_normal.jpg,en,"Hyderabad, India",Fridayposter,,https://t.co/e1zJ1Ig8U4,"https://t.co/MR9HWRB3Cp

#NatakamMovie Hero #AshishGandhi Sensational Comments On #ArjunReddy and #Rx100 Movies… https://t.co/dCTui9oLfG","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",1.039429E18,,,0,,,1852273359,"11 September, 2018 8:22:39 AM GMT",NatakamMovie;AshishGandhi;ArjunReddy;Rx100,https://yt2.pics.ee/AFWKH;https://twitter.com/i/web/status/1039428996310528001,,,0
AlluKafc,,1,2,81,1.0320835E18,http://pbs.twimg.com/profile_images/1032084536128155651/QtwZgebU_normal.jpg,en,,AntammaAlluKanaKafc,,,"RT @TheDeverakonda: 1 year! 

Until next time me and @imvangasandeep meet, you'll have to make do with this. #ArjunReddy

P.S. This was the…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.039421E18,,,1,,,1852271441,"11 September, 2018 7:50:41 AM GMT",ArjunReddy,,Vijay Deverakonda;Sandeep Reddy Vanga,TheDeverakonda;imvangasandeep,3204
VijayRowdiesKL,"Hello Rowdy Boys & Girls ?
Welcome To The First @TheDeverakonda Fan Page From Kerala !! ?",2055,175,5,1.0253023E18,http://pbs.twimg.com/profile_images/1036594953252732928/u5e_Fm8E_normal.jpg,en,God's Own Country,Vijay Deverakonda FC Kerala,,,"RT @PyckerKollywood: #NOTA: We Haven’t Tried To Safely Play With @TheDeverakonda #ArjunReddy Image, Says Anand Shankar

https://t.co/mtGyzZ…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0394102E18,,,1,,,1852268874,"11 September, 2018 7:07:54 AM GMT",NOTA;ArjunReddy,,Pycker Kollywood;Vijay Deverakonda,PyckerKollywood;TheDeverakonda,1
YounusK83164606,"I'm Just a ?Boy, Standing In Front Of the World, Asking You to Follow Me",136,2,47,1.0333023E18,http://pbs.twimg.com/profile_images/1033306862274338817/40_i_1SM_normal.jpg,en,India,#Younus 45Khan,,,"RT @VjayDevarakonda: My all time fav scene.. 
Retweet --> if this is your fav also
#Arjunreddy #VijayDevarakonda #Vijay #NOTA https://t.co/…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0394076E18,,,1,,,1852268251,"11 September, 2018 6:57:31 AM GMT",Arjunreddy;VijayDevarakonda;Vijay;NOTA,,Vijay Deverakonda,VjayDevarakonda,45
PyckerKollywood,"Pycker gives you the latest news and happenings in Kollywood which includes trailers, teasers, trending reviews, interviews, audio launches, video & audio songs",997,6038,746,2558567718,http://pbs.twimg.com/profile_images/740807294213074944/LJW5Exiy_normal.jpg,en,India,Pycker Kollywood,,https://t.co/HG6UK40F8Y,"#NOTA: We Haven’t Tried To Safely Play With @TheDeverakonda #ArjunReddy Image, Says Anand Shankar

https://t.co/mtGyzZxa7y","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",1.0393989E18,,,0,,,1852266195,"11 September, 2018 6:23:15 AM GMT",NOTA;ArjunReddy,https://pycker.com/news/nota-we-havent-tried-to-safely-play-with-vijays-arjun-reddy-image-says-anand-shankar/156773452709174,Vijay Deverakonda,TheDeverakonda,1
saleems26885850,hard of allu Arjun fan,590,7,112,7.6620738E17,http://pbs.twimg.com/profile_images/1029416856312901632/87ilFl5G_normal.jpg,en,India,saleemshaik,,,"RT @VjayDevarakonda: My all time fav scene.. 
Retweet --> if this is your fav also
#Arjunreddy #VijayDevarakonda #Vijay #NOTA https://t.co/…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0393521E18,,,1,,,1852255019,"11 September, 2018 3:16:59 AM GMT",Arjunreddy;VijayDevarakonda;Vijay;NOTA,,Vijay Deverakonda,VjayDevarakonda,45
Krishna17247375,"Die hard #STR & #AJITH fan
Director My roll model in #manirathanm & #gauthamvasudevmenon
music addict in #ARRaguman &  #U1shankar",438,4,7,1.032109E18,http://pbs.twimg.com/profile_images/1036205231984467968/Ra8ys0qE_normal.jpg,en,"Tiruchirapalli, India",Ajith Krishnan AK,,,"RT @sidhuwrites: A glimpse of #100PercentKadhal is here, https://t.co/PVK44fwklO @gvprakash sports a new avatar along with the #ArjunReddy…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0393494E18,,,1,,,1852254388,"11 September, 2018 3:06:28 AM GMT",100PercentKadhal;ArjunReddy,https://youtu.be/rcquqy8DgSY,Sidhu;G.V.Prakash Kumar,sidhuwrites;gvprakash,4
thamarai2311,"$h@n@t!c ?  Dream:wanna meet him once in my life ? Novemberian ?
?feb 4 ? march 2 ??",18688,431,338,4812981033,http://pbs.twimg.com/profile_images/871599677669429248/Xdb7nE8L_normal.jpg,en,india,thAMarai selvi,,,"RT @EntDC: .@shahidkapoor's dedication towards work is so praiseworthy!

#ZainKapoor #MiraKapoor #mishakapoor #ShahidKapoor #BattiGulMeterC…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0393464E18,,,1,,,1852253673,"11 September, 2018 2:54:33 AM GMT",ZainKapoor;MiraKapoor;mishakapoor;ShahidKapoor,,Deccan Chronicle - Entertainment;Shahid Kapoor,EntDC;shahidkapoor,15
VijayRowdies,"Follow for latest updates of Rowdy Vijay Devarakonda || Rowdies!!  Follow us ||

????",132,4,9,9.5680968E17,http://pbs.twimg.com/profile_images/1037621706238521345/8S6558yY_normal.jpg,en,"Andhra Pradesh, India",Vijay Rowdies,,https://t.co/Xj23nCrev0,RT @SagarJadav: @imvangasandeep Thank you sir for this masterpiece and I hope the remake with @shahidkapoor will turn out to be as awesome…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0393252E18,,,1,,,1852248610,"11 September, 2018 1:30:10 AM GMT",,,ShahidK's Crazy Boy©;Sandeep Reddy Vanga;Shahid Kapoor,SagarJadav;imvangasandeep;shahidkapoor,6
VijayRowdies,"Follow for latest updates of Rowdy Vijay Devarakonda || Rowdies!!  Follow us ||

????",132,4,9,9.5680968E17,http://pbs.twimg.com/profile_images/1037621706238521345/8S6558yY_normal.jpg,en,"Andhra Pradesh, India",Vijay Rowdies,,https://t.co/Xj23nCrev0,RT @SagarJadav: I watched #ArjunReddy last night and I’m completely blown away. Not a single dull moment in the film. @TheDeverakonda is a…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0393252E18,,,1,,,1852248606,"11 September, 2018 1:30:06 AM GMT",ArjunReddy,,ShahidK's Crazy Boy©;Vijay Deverakonda,SagarJadav;TheDeverakonda,26
South_Indians,Voice of all south states!All about South India! #AumNamoVenkateshaya  #StopHindiImposition #ProudDharmaFollower,5772,37744,31471,2582874433,http://pbs.twimg.com/profile_images/1035783365734084608/QvlMr2vs_normal.jpg,en,"Tirupati, South India",Voice of South,,,@DGZMedia @tarak9999 Only #ArjunReddy,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0392907E18,,,0,DGZMedia,303032748,1852240392,"10 September, 2018 11:13:12 PM GMT",ArjunReddy,,DGZ Media;Jr NTR,DGZMedia;tarak9999,0
iamsekharsarma,,32384,563,30,123006477,http://pbs.twimg.com/profile_images/982630224801054720/vc8LK8uZ_normal.jpg,en,,#ANR-AKHIL FAN,,,"RT @im_Bobby_11: Who is Your choice For next Generation ?

#VijayDeverakonda #ArjunReddy
#NOTA 
#VarunTej #TholiPrema 
#rx100 #kartikeya 
#…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0392605E18,,,1,,,1852233181,"10 September, 2018 9:13:01 PM GMT",VijayDeverakonda;ArjunReddy;NOTA;VarunTej;TholiPrema;rx100;kartikeya,,SomanaTh PsPk,im_Bobby_11,1
Harish02684781,,27,2,38,1.0344428E18,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,en,"Tenali, India",Harish,,,"RT @VjayDevarakonda: My all time fav scene.. 
Retweet --> if this is your fav also
#Arjunreddy #VijayDevarakonda #Vijay #NOTA https://t.co/…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.039242E18,,,1,,,1852228774,"10 September, 2018 7:59:34 PM GMT",Arjunreddy;VijayDevarakonda;Vijay;NOTA,,Vijay Deverakonda,VjayDevarakonda,45
kritikabendre,"A Biggest Fan of Princess Kritika Kamra
.
on Twitter for kk..??",2718,84,61,9.190947E17,http://pbs.twimg.com/profile_images/1034686259116105735/Yz-SvCHW_normal.jpg,en,"Mumbai, India",Kritika,,,"RT @Tutejajoginder: Guess what, @JackkyBhagnani has #ArjunReddy connection in #Mitron  @Abundantia_Ent @vikramix @BollySpice 

https://t.co…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0392338E18,,,1,,,1852226830,"10 September, 2018 7:27:10 PM GMT",ArjunReddy;Mitron,,Joginder Tuteja;Jackky JAI Bhagnani;Abundantia;Vikram Malhotra;BollySpice.com,Tutejajoginder;jackkybhagnani;Abundantia_Ent;vikramix;BollySpice,2
Abundantia_Ent,Curious. Non-conventional. Driven. Like us on https://t.co/GQyrZxoWOY & Follow us on Instagram - https://t.co/prHIaZGkSk,4661,8670,158,2814485905,http://pbs.twimg.com/profile_images/647673108137009152/4kbnaiQd_normal.jpg,en,,Abundantia,,https://t.co/WUJXkGrdon,"RT @Tutejajoginder: Guess what, @JackkyBhagnani has #ArjunReddy connection in #Mitron  @Abundantia_Ent @vikramix @BollySpice 

https://t.co…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0392305E18,,,1,,,1852226022,"10 September, 2018 7:13:42 PM GMT",ArjunReddy;Mitron,,Joginder Tuteja;Jackky JAI Bhagnani;Abundantia;Vikram Malhotra;BollySpice.com,Tutejajoginder;jackkybhagnani;Abundantia_Ent;vikramix;BollySpice,2
shahid_kapoorfa,"Biggest fan of shahid kapoor and I'm proud to be a Shanatics, I made this account only for you shahid kapoor and I will keep supporting you till my last breath.",49868,224,194,7.5085555E17,http://pbs.twimg.com/profile_images/1037207636679245826/-4tCtZN9_normal.jpg,en,Italy,Tommy Singh ?? the gabru,,,RT @SagarJadav: @imvangasandeep Thank you sir for this masterpiece and I hope the remake with @shahidkapoor will turn out to be as awesome…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0392281E18,,,1,,,1852225458,"10 September, 2018 7:04:18 PM GMT",,,ShahidK's Crazy Boy©;Sandeep Reddy Vanga;Shahid Kapoor,SagarJadav;imvangasandeep;shahidkapoor,6
CPManuGowda1,"BHARAT MAATHAA KI JAI.
of the people, by the people, For the people.
Social thinker, Mandya Constituency .",106,20,58,9.884155E17,http://pbs.twimg.com/profile_images/988424028946911238/z7QzFq9s_normal.jpg,en,"Mandya, India",C P Manu Gowda,,,"@TheDeveraakonda hello my Dear Rowdy boy, try to do the same with Cigarette.. 
#ArjunReddy
#RowdyBoyFromKarnataka","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0392174E18,,,0,TheDeveraakonda,9.0363887E17,1852222921,"10 September, 2018 6:22:01 PM GMT",ArjunReddy;RowdyBoyFromKarnataka,,Vijay Devarakonda ?,TheDeveraakonda,0
MyselfAravind,"Indian, CR7 ?, RMCF ?, Juventus, Sun Riser, Flyin high ;~)",1594,3014,2543,248160496,http://pbs.twimg.com/profile_images/1029634634819072001/siBGCbVj_normal.jpg,en,"Warangal-Hamamkonda, India",Aravind,,,#NOTA Can't wait... Expecting another #ArjunReddy esque blockbuster performance from @TheDeverakonda,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0392028E18,,,0,,,1852219433,"10 September, 2018 5:23:53 PM GMT",NOTA;ArjunReddy,,Vijay Deverakonda,TheDeverakonda,0
Spraveen786,,474,13,0,7.7931051E17,http://pbs.twimg.com/profile_images/1030865199211790336/3yV6Osgg_normal.jpg,en,,Sabbavarapu praveen,,,"RT @SakthiSurya_VJD: #NOTA the first goosebump moment I got for #VIJAY 

#Pellichupulu made me like him ??

#ArjunReddy made me his fan ??…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0391931E18,,,1,,,1852217114,"10 September, 2018 4:45:14 PM GMT",NOTA;VIJAY;Pellichupulu;ArjunReddy,,Sakthi Surya VJD,SakthiSurya_VJD,11
Spraveen786,,474,13,0,7.7931051E17,http://pbs.twimg.com/profile_images/1030865199211790336/3yV6Osgg_normal.jpg,en,,Sabbavarapu praveen,,,"RT @iamAnupamS: My #Malayalam Poster Design For #NOTA ?

#ArjunReddy & Recent #GeethaGovindam Craze Created Fan Base For @TheDeverakonda in…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.039193E18,,,1,,,1852217102,"10 September, 2018 4:45:02 PM GMT",Malayalam;NOTA;ArjunReddy;GeethaGovindam,,Anupam Shekhar;Vijay Deverakonda,iamAnupamS;TheDeverakonda,9
mohdirfan0231,,47081,26,55,8.5361597E17,http://pbs.twimg.com/profile_images/1007875522360115200/AM9a5DtF_normal.jpg,en,"Hyderabad, India",Mohd Irfan,,,"RT @TheDeverakonda: 1 year! 

Until next time me and @imvangasandeep meet, you'll have to make do with this. #ArjunReddy

P.S. This was the…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0391927E18,,,1,,,1852217027,"10 September, 2018 4:43:47 PM GMT",ArjunReddy,,Vijay Deverakonda;Sandeep Reddy Vanga,TheDeverakonda;imvangasandeep,3204
bell51351339,,25238,105,620,7.4507739E17,http://pbs.twimg.com/profile_images/1009772345186123776/1icL4j14_normal.jpg,en,Malaysia,bell,,,"RT @sidhuwrites: A glimpse of #100PercentKadhal is here, https://t.co/PVK44fwklO @gvprakash sports a new avatar along with the #ArjunReddy…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0391891E18,,,1,,,1852216156,"10 September, 2018 4:29:16 PM GMT",100PercentKadhal;ArjunReddy,https://youtu.be/rcquqy8DgSY,Sidhu;G.V.Prakash Kumar,sidhuwrites;gvprakash,4
Roy_525,,3332,9,39,9.3821952E17,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,en,Chennai,Royston,,,"RT @NandurkarSuraj: There is @TheDeverakonda  in South 
And @RajkummarRao In North.....

Would Love To See More And More Root But Extremely…","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",1.0391869E18,,,1,,,1852215649,"10 September, 2018 4:20:49 PM GMT",,,Suraj Nandurkar.....;Vijay Deverakonda;Rajkummar Rao,NandurkarSuraj;TheDeverakonda;RajkummarRao,1
ShahinTurak,An insane shanatic?,2,39,38,7.5764863E17,http://pbs.twimg.com/profile_images/1032714448610320385/k7KriU6L_normal.jpg,en,,Shahin Shahid Kapoor,,,"RT @EntDC: .@shahidkapoor's dedication towards work is so praiseworthy!

#ZainKapoor #MiraKapoor #mishakapoor #ShahidKapoor #BattiGulMeterC…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0391683E18,,,1,,,1852211212,"10 September, 2018 3:06:52 PM GMT",ZainKapoor;MiraKapoor;mishakapoor;ShahidKapoor,,Deccan Chronicle - Entertainment;Shahid Kapoor,EntDC;shahidkapoor,15
ShahinTurak,An insane shanatic?,2,39,38,7.5764863E17,http://pbs.twimg.com/profile_images/1032714448610320385/k7KriU6L_normal.jpg,en,,Shahin Shahid Kapoor,,,"RT @Nani4u143: @shahidkapoor Resumes Work Soon After #Zain’s Birth

#BattiGulMeterChalu #ArjunReddy https://t.co/AgIDcQVCFU","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0391681E18,,,1,,,1852211148,"10 September, 2018 3:05:48 PM GMT",Zain;BattiGulMeterChalu;ArjunReddy,,Movies&Politics ? ? N@Ni R€DDY?;Shahid Kapoor,Nani4u143;shahidkapoor,16
vvvijaynike,,13588,141,515,304936036,http://pbs.twimg.com/profile_images/1009799706292183041/SLjtdIty_normal.jpg,en,,Mahesh,,,@Troll_Cinema @TrollCinemaOff Boss ADHM is utter flop movie.. comparing it with #Premam nd #ArjunReddy is not at al… https://t.co/YNrf9N9zwQ,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0391675E18,,,0,Troll_Cinema,1974258853,1852211019,"10 September, 2018 3:03:39 PM GMT",Premam;ArjunReddy,https://twitter.com/i/web/status/1039167526327017472,Troll Cinema ( TC );Troll Cinema ( TC ),Troll_Cinema;TrollCinemaOff,0
MayaMay47359827,,247,3,27,1.0313874E18,http://pbs.twimg.com/profile_images/1031426317630095360/63M_WoQX_normal.jpg,en,,Maya Maya,,,"RT @VjayDevarakonda: My all time fav scene.. 
Retweet --> if this is your fav also
#Arjunreddy #VijayDevarakonda #Vijay #NOTA https://t.co/…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0391666E18,,,1,,,1852210787,"10 September, 2018 2:59:47 PM GMT",Arjunreddy;VijayDevarakonda;Vijay;NOTA,,Vijay Deverakonda,VjayDevarakonda,45
I_Ajesh,"Diehard #IlayaThalapathy #VijayAnna Fan ? |
Mechanical Engineer ??? |
Likes All Cute Heroines ? |
Movie Lover ? | Likes Music ? | WWE ?",36730,3519,322,463551217,http://pbs.twimg.com/profile_images/1009804725884088320/Gf3hQMJb_normal.jpg,en,,??????? ??????,,https://t.co/2q91DFMwqN,"#100PercentKadhal ???

@gvprakash Stylish Look Bro ??
@shalinipandeyyy That Same Innocent Look From #ArjunReddy ???… https://t.co/LCnY1edjTr","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0391628E18,,,0,,,1852209898,"10 September, 2018 2:44:58 PM GMT",100PercentKadhal;ArjunReddy,https://twitter.com/i/web/status/1039162824100966405,G.V.Prakash Kumar;Shalini,gvprakash;shalinipandeyyy,0
naveedahamed30,,133,14,322,3240621408,http://pbs.twimg.com/profile_images/608218732087767040/9hFzqAkh_normal.jpg,en,,Navid Ahmed,,,Back to #ArjunReddy ? #ArjunReddymania #ArjunReddyfever @TheDeverakonda @shalinipandeyyy #vijaydeverakonda… https://t.co/z6wpO9ELgA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0391626E18,,,0,,,1852209855,"10 September, 2018 2:44:15 PM GMT",ArjunReddy;ArjunReddymania;ArjunReddyfever;vijaydeverakonda,https://twitter.com/i/web/status/1039162641451769856,Vijay Deverakonda;Shalini,TheDeverakonda;shalinipandeyyy,0
haikaluvshahid,Nerd. Full of life. Dreamy always. Loves animals.. My baby @shahidkapoor is my EVERYTHING ??,1602,1881,733,111834732,http://pbs.twimg.com/profile_images/1018744300752891904/--zSgcJj_normal.jpg,en,Sri Lanka,Haika| ShahidMyLife?,,,RT @SagarJadav: @imvangasandeep Thank you sir for this masterpiece and I hope the remake with @shahidkapoor will turn out to be as awesome…,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",1.0391593E18,,,1,,,1852209061,"10 September, 2018 2:31:01 PM GMT",,,ShahidK's Crazy Boy©;Sandeep Reddy Vanga;Shahid Kapoor,SagarJadav;imvangasandeep;shahidkapoor,6
Lalit28144328,"I'm a small youtuber, short film maker and director and camera man.",699,3,21,1.0241196E18,http://pbs.twimg.com/profile_images/1029926275157094400/v3RvynS3_normal.jpg,en,"Koraput, India",Lalit,,https://t.co/Jaen6l1BWf,"RT @VjayDevarakonda: My all time fav scene.. 
Retweet --> if this is your fav also
#Arjunreddy #VijayDevarakonda #Vijay #NOTA https://t.co/…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0391407E18,,,1,,,1852204618,"10 September, 2018 1:16:58 PM GMT",Arjunreddy;VijayDevarakonda;Vijay;NOTA,,Vijay Deverakonda,VjayDevarakonda,45
AravindRosh563,#MovieBuff #BlogForMovieReviews https://t.co/vvwmDljD5g #KollywoodCinemaFan #MoviePromotions,30188,128,1874,9.0381805E17,http://pbs.twimg.com/profile_images/1033224355205894144/zCeCDLGx_normal.jpg,en,"Chennai, India",Aravind Shyam Sundar,,https://t.co/vvwmDljD5g,"RT @sidhuwrites: A glimpse of #100PercentKadhal is here, https://t.co/PVK44fwklO @gvprakash sports a new avatar along with the #ArjunReddy…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0391402E18,,,1,,,1852204498,"10 September, 2018 1:14:58 PM GMT",100PercentKadhal;ArjunReddy,https://youtu.be/rcquqy8DgSY,Sidhu;G.V.Prakash Kumar,sidhuwrites;gvprakash,4
Akhil64334038,"Dreamer with practical nature...???. Like acting/Performance of @TheDeveraakonda,@sai_pallavi92.
Like direction of @RajkumarHirani,@sekharkammula",206,1,34,1.0310206E18,http://pbs.twimg.com/profile_images/1032606127739916289/w8nH266p_normal.jpg,en,"??????, ????",Akhil,,,"RT @ManojbittuReddy: Darling ? ?
@TheDeverakonda ?
#ArjunReddy
#fancreation
#fanlove https://t.co/FzV2mI7ptU","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0391392E18,,,1,,,1852204263,"10 September, 2018 1:11:03 PM GMT",ArjunReddy;fancreation;fanlove,,Manojreddy;Vijay Deverakonda,ManojbittuReddy;TheDeverakonda,2
Shahid__4ever,"S H A H I D  K A P O O R ?
M I R A  K A P O O R ?
M I S H A  K A P O O R ?
Z A I N  K A P O O R ?",5088,766,997,3437253977,http://pbs.twimg.com/profile_images/1038061456682635264/xR6wmOXG_normal.jpg,en,,BGMC on 21st Sep ?,,,"RT @EntDC: .@shahidkapoor's dedication towards work is so praiseworthy!

#ZainKapoor #MiraKapoor #mishakapoor #ShahidKapoor #BattiGulMeterC…","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",1.0391373E18,,,1,,,1852203805,"10 September, 2018 1:03:25 PM GMT",ZainKapoor;MiraKapoor;mishakapoor;ShahidKapoor,,Deccan Chronicle - Entertainment;Shahid Kapoor,EntDC;shahidkapoor,15
ANILGOUD_143,vijay devarakonda fan,1192,19,195,9.4847603E17,http://pbs.twimg.com/profile_images/1018120689398644736/GR7dQqup_normal.jpg,en,"Hyderabad, India",Vijay,,,RT @SagarJadav: I watched #ArjunReddy last night and I’m completely blown away. Not a single dull moment in the film. @TheDeverakonda is a…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0391372E18,,,1,,,1852203791,"10 September, 2018 1:03:11 PM GMT",ArjunReddy,,ShahidK's Crazy Boy©;Vijay Deverakonda,SagarJadav;TheDeverakonda,26
Thamizhmaran19,"Iam a deep fan suriya Anna, raina, anirudh and keerthy suresh .PROUD TO BE AN ENGINEER (ECE) 1st year",72538,314,277,8.8241561E17,http://pbs.twimg.com/profile_images/1036632512515072000/1TCYb7SD_normal.jpg,en,"Chennai, India",suriya's fan boy????,,,"RT @sidhuwrites: A glimpse of #100PercentKadhal is here, https://t.co/PVK44fwklO @gvprakash sports a new avatar along with the #ArjunReddy…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0391344E18,,,1,,,1852203110,"10 September, 2018 12:51:50 PM GMT",100PercentKadhal;ArjunReddy,https://youtu.be/rcquqy8DgSY,Sidhu;G.V.Prakash Kumar,sidhuwrites;gvprakash,4
sidhuwrites,"Professional headbanger. Unprofessional commentator. Writes for @OnlyKollywood @thenewsminute & https://t.co/SS59fq8Byz. YouTubes at @CinemaCentralYT. Films, music & cricket yo.",10070,46982,1730,371347032,http://pbs.twimg.com/profile_images/963811286835453952/VqBqgoIx_normal.jpg,en,"Chennai, India",Sidhu,,https://t.co/cV9PjMGYHv,"A glimpse of #100PercentKadhal is here, https://t.co/PVK44fwklO @gvprakash sports a new avatar along with the… https://t.co/LcSYzFZaiT","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0391328E18,,,0,,,1852202733,"10 September, 2018 12:45:33 PM GMT",100PercentKadhal,https://youtu.be/rcquqy8DgSY;https://twitter.com/i/web/status/1039132769291587585,G.V.Prakash Kumar,gvprakash,4
EeYuva,,23,97,5,3293804855,http://pbs.twimg.com/profile_images/801644709055578112/-pY2YZkN_normal.jpg,en,"Hyderabad, India",EeYuva,,https://t.co/egilGWiDYe,"After the super success of #GeethaGovindham, top producer #AlluArvind is planning a big budget film in the combinat… https://t.co/huUPlzvX9W","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",1.0391324E18,,,0,,,1852202644,"10 September, 2018 12:44:04 PM GMT",GeethaGovindham;AlluArvind,https://twitter.com/i/web/status/1039132399114829826,,,0
shanatic_nimra1,#Muslim #iBleedGreen??#CatMom?#Shanatic?fan account for @shahidkapoor He's Bae?His Upcoming?#BattiGulMeterChalu #21Sep admin?@shahidkapoorFC #PakCricket fan,66542,3754,141,496631949,http://pbs.twimg.com/profile_images/1031620291024351232/D2MpDau6_normal.jpg,en,"Karachi, Pakistan",Nimra?Shahid?BGMC?21st Sep 2018,,,"RT @EntDC: .@shahidkapoor's dedication towards work is so praiseworthy!

#ZainKapoor #MiraKapoor #mishakapoor #ShahidKapoor #BattiGulMeterC…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0391299E18,,,1,,,1852202052,"10 September, 2018 12:34:12 PM GMT",ZainKapoor;MiraKapoor;mishakapoor;ShahidKapoor,,Deccan Chronicle - Entertainment;Shahid Kapoor,EntDC;shahidkapoor,15
Manojku83634582,@animator  studying https://t.co/LykfRumJu8 animation,414,4,215,1.0382268E18,http://pbs.twimg.com/profile_images/1039164245659664384/I9Amt_D-_normal.jpg,en,"Madurai ,India",Manojkumar,,,"RT @TheDeverakonda: 1 year! 

Until next time me and @imvangasandeep meet, you'll have to make do with this. #ArjunReddy

P.S. This was the…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0391209E18,,,1,,,1852199914,"10 September, 2018 11:58:34 AM GMT",ArjunReddy,,Vijay Deverakonda;Sandeep Reddy Vanga,TheDeverakonda;imvangasandeep,3204
EMSelva1,? M€©HON ?|• ?Music luver ? | ?online surfer? |• Loyal ?| Brother's lUV ?| Single ? |• Fan of Vj Anna ??,28562,94,35,3035909196,http://pbs.twimg.com/profile_images/1008722328862117889/qtriTui3_normal.jpg,en,Coimbatore,M€R$AL $€LV?,,,"RT @RajiniVijay_FC: I'm Huge Fan Of #Vijay Anna In Tamil Says #VijayDevarkonda ??

#VijayD #GeethaGovindam #GeethaGovindham #ArjunReddy #Pe…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0391142E18,,,1,,,1852198305,"10 September, 2018 11:31:45 AM GMT",Vijay;VijayDevarkonda;VijayD;GeethaGovindam;GeethaGovindham;ArjunReddy,,Rajini-Vijay FC™,RajiniVijay_FC,15
